X,Y,OBJECTID,COUNTY,DESCRIPTION_BSL,DIRECTION_OP,DLAT_GIS,DLONG_GIS,LINE,MUNICIPALITY,STOP_NUM,STOP_TYPE,STREET_DIR,HEADING
-8244409.2938,5007979.6853,18,Bergen,SOLDIER HILL RD AT LIVINGSTON CT#,In,40.97041,-74.06079,165,EMERSON,11504,NS,W,275
-8242741.9377,5008452.6691,19,Bergen,FOREST AVE AT CINDY LN,Ou,40.97364,-74.04588,165,EMERSON,11505,NS,N,12
-8242759.3006,5008486.1904,20,Bergen,FOREST AVE AT FRANKLIN CT,In,40.97386,-74.04599,165,EMERSON,11511,NS,S,193
-8235350.5,4993689.4385,21,Bergen,BROAD AVE 172'S OF CROSS CREEK DRIVE,Ou,40.87343,-73.97943,166,ENGLEWOOD,11514,MB,N,28
-8235350.5,4993689.4385,22,Bergen,BROAD AVE 172'S OF CROSS CREEK DRIVE,Ou,40.87343,-73.97943,756,ENGLEWOOD,11514,MB,N,28
-8235181.9871,4993995.7748,23,Bergen,BROAD AVE AT PHELPS AVE,Ou,40.87552,-73.97794,166,ENGLEWOOD,11515,FS,N,27
-8235181.9871,4993995.7748,24,Bergen,BROAD AVE AT PHELPS AVE,Ou,40.87552,-73.97794,756,ENGLEWOOD,11515,FS,N,27
-8235211.5312,4993991.3335,25,Bergen,BROAD AVE AT PHELPS AVE,In,40.87546,-73.97813,166,ENGLEWOOD,11516,NS,S,207
-8235211.5312,4993991.3335,26,Bergen,BROAD AVE AT PHELPS AVE,In,40.87546,-73.97813,756,ENGLEWOOD,11516,NS,S,207
-8235332.4459,4993773.9419,27,Bergen,BROAD AVE AT SHEFFIELD AVE,In,40.87398,-73.97921,166,ENGLEWOOD,11517,NS,S,209
-8235332.4459,4993773.9419,28,Bergen,BROAD AVE AT SHEFFIELD AVE,In,40.87398,-73.97921,756,ENGLEWOOD,11517,NS,S,209
-8234106.9506,4999043.0772,29,Bergen,N DEAN ST AT E HUDSON AVE,In,40.90977,-73.96818,166,ENGLEWOOD,11518,FS,S,190
-8234106.9506,4999043.0772,30,Bergen,N DEAN ST AT E HUDSON AVE,In,40.90977,-73.96818,780,ENGLEWOOD,11518,FS,S,190
-8234329.671,4998088.3098,31,Bergen,N DEAN ST AT BROWNES TER,In,40.90328,-73.97016,166,ENGLEWOOD,11519,FS,S,194
-8234329.671,4998088.3098,32,Bergen,N DEAN ST AT BROWNES TER,In,40.90328,-73.97016,780,ENGLEWOOD,11519,FS,S,194
-8234387.4533,4997856.231,33,Bergen,N DEAN ST AT W HAMILTON AVE,In,40.90171,-73.97071,166,ENGLEWOOD,11520,NS,S,195
-8234387.4533,4997856.231,34,Bergen,N DEAN ST AT W HAMILTON AVE,In,40.90171,-73.97071,780,ENGLEWOOD,11520,NS,S,195
-8234488.6285,4997396.9875,35,Bergen,N DEAN ST 488'S OF CHESTNUT ST,In,40.89858,-73.9716,166,ENGLEWOOD,11521,MB,S,200
-8234488.6285,4997396.9875,36,Bergen,N DEAN ST 488'S OF CHESTNUT ST,In,40.89858,-73.9716,780,ENGLEWOOD,11521,MB,S,200
-8234582.5688,4997167.2825,37,Bergen,N DEAN ST AT E DEMAREST AVE,In,40.89701,-73.97242,166,ENGLEWOOD,11522,FS,S,204
-8234582.5688,4997167.2825,38,Bergen,N DEAN ST AT E DEMAREST AVE,In,40.89701,-73.97242,178,ENGLEWOOD,11522,FS,S,204
-8234582.5688,4997167.2825,39,Bergen,N DEAN ST AT E DEMAREST AVE,In,40.89701,-73.97242,756,ENGLEWOOD,11522,FS,S,204
-8234582.5688,4997167.2825,40,Bergen,N DEAN ST AT E DEMAREST AVE,In,40.89701,-73.97242,780,ENGLEWOOD,11522,FS,S,204
-8234861.2291,4996543.3404,41,Bergen,DEAN ST AT PALISADE AVE,In,40.89278,-73.97494,166,ENGLEWOOD,11523,MB,S,203
-8234861.2291,4996543.3404,42,Bergen,DEAN ST AT PALISADE AVE,In,40.89278,-73.97494,178,ENGLEWOOD,11523,MB,S,203
-8234861.2291,4996543.3404,43,Bergen,DEAN ST AT PALISADE AVE,In,40.89278,-73.97494,756,ENGLEWOOD,11523,MB,S,203
-8234861.2291,4996543.3404,44,Bergen,DEAN ST AT PALISADE AVE,In,40.89278,-73.97494,780,ENGLEWOOD,11523,MB,S,203
-8235141.2157,4996067.2013,45,Bergen,DEAN ST. SOUTH AT GARRETT PL,In,40.88955,-73.97748,166,ENGLEWOOD,11524,NS,S,209
-8235141.2157,4996067.2013,46,Bergen,DEAN ST. SOUTH AT GARRETT PL,In,40.88955,-73.97748,178,ENGLEWOOD,11524,NS,S,209
-8235141.2157,4996067.2013,47,Bergen,DEAN ST. SOUTH AT GARRETT PL,In,40.88955,-73.97748,756,ENGLEWOOD,11524,NS,S,209
-8235258.3034,4995837.8952,48,Bergen,DEAN ST. SOUTH AT LINDEN AVE,In,40.88799,-73.97852,166,ENGLEWOOD,11525,NS,S,207
-8235258.3034,4995837.8952,49,Bergen,DEAN ST. SOUTH AT LINDEN AVE,In,40.88799,-73.97852,178,ENGLEWOOD,11525,NS,S,207
-8235258.3034,4995837.8952,50,Bergen,DEAN ST. SOUTH AT LINDEN AVE,In,40.88799,-73.97852,756,ENGLEWOOD,11525,NS,S,207
-8235448.4292,4995464.9276,51,Bergen,DEAN ST. SOUTH AT FOREST AVE,In,40.88545,-73.98021,166,ENGLEWOOD,11526,NS,S,207
-8235448.4292,4995464.9276,52,Bergen,DEAN ST. SOUTH AT FOREST AVE,In,40.88545,-73.98021,178,ENGLEWOOD,11526,NS,S,207
-8235448.4292,4995464.9276,53,Bergen,DEAN ST. SOUTH AT FOREST AVE,In,40.88545,-73.98021,756,ENGLEWOOD,11526,NS,S,207
-8235605.7072,4995155.3092,54,Bergen,DEAN ST. SOUTH AT HONECK ST,In,40.88335,-73.98163,166,ENGLEWOOD,11527,NS,S,207
-8235605.7072,4995155.3092,55,Bergen,DEAN ST. SOUTH AT HONECK ST,In,40.88335,-73.98163,178,ENGLEWOOD,11527,NS,S,207
-8235605.7072,4995155.3092,56,Bergen,DEAN ST. SOUTH AT HONECK ST,In,40.88335,-73.98163,756,ENGLEWOOD,11527,NS,S,207
-8234575.2967,4996675.1182,57,Bergen,ENGLE ST AT PALISADE AVE,Ou,40.89372,-73.97251,166,ENGLEWOOD,11528,NS,N,22
-8234575.2967,4996675.1182,58,Bergen,ENGLE ST AT PALISADE AVE,Ou,40.89372,-73.97251,178,ENGLEWOOD,11528,NS,N,22
-8234575.2967,4996675.1182,59,Bergen,ENGLE ST AT PALISADE AVE,Ou,40.89372,-73.97251,756,ENGLEWOOD,11528,NS,N,22
-8234575.2967,4996675.1182,60,Bergen,ENGLE ST AT PALISADE AVE,Ou,40.89372,-73.97251,780,ENGLEWOOD,11528,NS,N,22
-8234496.68,4996883.1983,61,Bergen,ENGLE ST AT SPRING LANE,Ou,40.89513,-73.9718,166,ENGLEWOOD,11529,FS,N,20
-8234496.68,4996883.1983,62,Bergen,ENGLE ST AT SPRING LANE,Ou,40.89513,-73.9718,178,ENGLEWOOD,11529,FS,N,20
-8234496.68,4996883.1983,63,Bergen,ENGLE ST AT SPRING LANE,Ou,40.89513,-73.9718,756,ENGLEWOOD,11529,FS,N,20
-8234496.68,4996883.1983,64,Bergen,ENGLE ST AT SPRING LANE,Ou,40.89513,-73.9718,780,ENGLEWOOD,11529,FS,N,20
-8234396.2121,4997153.4394,65,Bergen,ENGLE ST AT DEMAREST AVE,Ou,40.89696,-73.97088,166,ENGLEWOOD,11530,FS,N,20
-8234396.2121,4997153.4394,66,Bergen,ENGLE ST AT DEMAREST AVE,Ou,40.89696,-73.97088,780,ENGLEWOOD,11530,FS,N,20
-8234290.7767,4997430.0774,67,Bergen,ENGLE ST AT CHESTNUT ST,Ou,40.89885,-73.96997,166,ENGLEWOOD,11531,NS,N,21
-8234290.7767,4997430.0774,68,Bergen,ENGLE ST AT CHESTNUT ST,Ou,40.89885,-73.96997,780,ENGLEWOOD,11531,NS,N,21
-8234185.0845,4997712.2997,69,Bergen,ENGLE ST AT HAMILTON AVE,Ou,40.90076,-73.969,166,ENGLEWOOD,11532,FS,N,21
-8234185.0845,4997712.2997,70,Bergen,ENGLE ST AT HAMILTON AVE,Ou,40.90076,-73.969,780,ENGLEWOOD,11532,FS,N,21
-8234103.0944,4997927.5532,71,Bergen,ENGLE ST AT GLENWOOD RD,Ou,40.90222,-73.96826,166,ENGLEWOOD,11533,NS,N,20
-8234103.0944,4997927.5532,72,Bergen,ENGLE ST AT GLENWOOD RD,Ou,40.90222,-73.96826,780,ENGLEWOOD,11533,NS,N,20
-8234019.8661,4998147.4931,73,Bergen,ENGLE ST AT DAVIDSON PLACE,Ou,40.90371,-73.9675,166,ENGLEWOOD,11534,MB,N,21
-8234019.8661,4998147.4931,74,Bergen,ENGLE ST AT DAVIDSON PLACE,Ou,40.90371,-73.9675,780,ENGLEWOOD,11534,MB,N,21
-8233910.7389,4998434.7621,75,Bergen,ENGLE ST AT DAVISON PL,Ou,40.90567,-73.96656,166,ENGLEWOOD,11535,FS,N,19
-8233910.7389,4998434.7621,76,Bergen,ENGLE ST AT DAVISON PL,Ou,40.90567,-73.96656,780,ENGLEWOOD,11535,FS,N,19
-8233738.5919,4998904.4293,77,Bergen,ENGLE ST AT HUDSON AVE,Ou,40.90885,-73.96498,166,ENGLEWOOD,11536,NS,N,19
-8235790.6625,4997002.2821,78,Bergen,ENGLEWOOD AVE AT PARK AVE,In,40.89599,-73.98335,178,ENGLEWOOD,11537,NS,E,100
-8235790.6625,4997002.2821,79,Bergen,ENGLEWOOD AVE AT PARK AVE,In,40.89599,-73.98335,780,ENGLEWOOD,11537,NS,E,100
-8235742.0153,4997017.7263,80,Bergen,ENGLEWOOD AVE AT COTTAGE PL,Ou,40.89595,-73.98295,178,ENGLEWOOD,11538,NS,W,281
-8235742.0153,4997017.7263,81,Bergen,ENGLEWOOD AVE AT COTTAGE PL,Ou,40.89595,-73.98295,780,ENGLEWOOD,11538,NS,W,281
-8235853.5167,4997038.6189,82,Bergen,ENGLEWOOD AVE AT BROOKWAY AVE,Ou,40.89609,-73.98395,178,ENGLEWOOD,11539,NS,W,280
-8235853.5167,4997038.6189,83,Bergen,ENGLEWOOD AVE AT BROOKWAY AVE,Ou,40.89609,-73.98395,780,ENGLEWOOD,11539,NS,W,280
-8236774.3736,4996164.7751,84,Bergen,FOREST AVE AT DECATUR AVE,In,40.89027,-73.99218,178,ENGLEWOOD,11540,NS,E,116
-8236774.3736,4996164.7751,85,Bergen,FOREST AVE AT DECATUR AVE,In,40.89027,-73.99218,780,ENGLEWOOD,11540,NS,E,116
-8236772.384,4996190.8736,86,Bergen,FOREST AVE AT DECATUR AVE,Ou,40.89042,-73.99218,178,ENGLEWOOD,11541,FS,W,296
-8236772.384,4996190.8736,87,Bergen,FOREST AVE AT DECATUR AVE,Ou,40.89042,-73.99218,780,ENGLEWOOD,11541,FS,W,296
-8235364.3912,4994655.8232,88,Bergen,GRAND AVE AT VAN NOSTRAND AVE,Ou,40.88,-73.97956,166,ENGLEWOOD,11543,FS,N,37
-8235364.3912,4994655.8232,89,Bergen,GRAND AVE AT VAN NOSTRAND AVE,Ou,40.88,-73.97956,178,ENGLEWOOD,11543,FS,N,37
-8235364.3912,4994655.8232,90,Bergen,GRAND AVE AT VAN NOSTRAND AVE,Ou,40.88,-73.97956,756,ENGLEWOOD,11543,FS,N,37
-8235232.885,4994863.3336,91,Bergen,GRAND AVE AT HONECK ST,Ou,40.88142,-73.97841,166,ENGLEWOOD,11544,NS,N,30
-8235232.885,4994863.3336,92,Bergen,GRAND AVE AT HONECK ST,Ou,40.88142,-73.97841,178,ENGLEWOOD,11544,NS,N,30
-8235232.885,4994863.3336,93,Bergen,GRAND AVE AT HONECK ST,Ou,40.88142,-73.97841,756,ENGLEWOOD,11544,NS,N,30
-8235168.5929,4995075.6158,94,Bergen,GRAND AVE AT MEADOWBROOK RD,Ou,40.88285,-73.97786,166,ENGLEWOOD,11545,FS,N,11
-8235168.5929,4995075.6158,95,Bergen,GRAND AVE AT MEADOWBROOK RD,Ou,40.88285,-73.97786,178,ENGLEWOOD,11545,FS,N,11
-8235168.5929,4995075.6158,96,Bergen,GRAND AVE AT MEADOWBROOK RD,Ou,40.88285,-73.97786,756,ENGLEWOOD,11545,FS,N,11
-8235145.2528,4995281.7758,97,Bergen,GRAND AVE AT FOREST AVE,Ou,40.88424,-73.97763,166,ENGLEWOOD,11546,FS,N,2
-8235145.2528,4995281.7758,98,Bergen,GRAND AVE AT FOREST AVE,Ou,40.88424,-73.97763,178,ENGLEWOOD,11546,FS,N,2
-8235145.2528,4995281.7758,99,Bergen,GRAND AVE AT FOREST AVE,Ou,40.88424,-73.97763,756,ENGLEWOOD,11546,FS,N,2
-8235101.4471,4995670.0712,100,Bergen,GRAND AVE AT LINDEN AVE. (E.),Ou,40.88689,-73.97725,166,ENGLEWOOD,11547,NS,N,14
-8235101.4471,4995670.0712,101,Bergen,GRAND AVE AT LINDEN AVE. (E.),Ou,40.88689,-73.97725,178,ENGLEWOOD,11547,NS,N,14
-8235101.4471,4995670.0712,102,Bergen,GRAND AVE AT LINDEN AVE. (E.),Ou,40.88689,-73.97725,756,ENGLEWOOD,11547,NS,N,14
-8234994.9583,4995928.3276,103,Bergen,GRAND AVE AT FRANKLIN ST,Ou,40.88866,-73.97629,166,ENGLEWOOD,11548,FS,N,29
-8234994.9583,4995928.3276,104,Bergen,GRAND AVE AT FRANKLIN ST,Ou,40.88866,-73.97629,178,ENGLEWOOD,11548,FS,N,29
-8234994.9583,4995928.3276,105,Bergen,GRAND AVE AT FRANKLIN ST,Ou,40.88866,-73.97629,756,ENGLEWOOD,11548,FS,N,29
-8234784.8435,4996253.7561,106,Bergen,GRAND AVE AT TRACEY PL,Ou,40.89087,-73.97439,166,ENGLEWOOD,11549,NS,N,34
-8234784.8435,4996253.7561,107,Bergen,GRAND AVE AT TRACEY PL,Ou,40.89087,-73.97439,178,ENGLEWOOD,11549,NS,N,34
-8234784.8435,4996253.7561,108,Bergen,GRAND AVE AT TRACEY PL,Ou,40.89087,-73.97439,756,ENGLEWOOD,11549,NS,N,34
-8234706.3792,4996373.584,109,Bergen,GRAND AVE 122'N OF ENGLEWOOD AVE,Ou,40.89167,-73.97367,166,ENGLEWOOD,11550,MB,N,27
-8234706.3792,4996373.584,110,Bergen,GRAND AVE 122'N OF ENGLEWOOD AVE,Ou,40.89167,-73.97367,178,ENGLEWOOD,11550,MB,N,27
-8234706.3792,4996373.584,111,Bergen,GRAND AVE 122'N OF ENGLEWOOD AVE,Ou,40.89167,-73.97367,756,ENGLEWOOD,11550,MB,N,27
-8234706.3792,4996373.584,112,Bergen,GRAND AVE 122'N OF ENGLEWOOD AVE,Ou,40.89167,-73.97367,780,ENGLEWOOD,11550,MB,N,27
-8235459.3327,4997085.1603,113,Bergen,LAFAYETTE AVE AT BENNETT RD,In,40.89654,-73.9804,178,ENGLEWOOD,11566,NS,N,82
-8235459.3327,4997085.1603,114,Bergen,LAFAYETTE AVE AT BENNETT RD,In,40.89654,-73.9804,780,ENGLEWOOD,11566,NS,N,82
-8235624.2259,4997051.4743,115,Bergen,LAFAYETTE AVE AT HARING PL,Ou,40.89619,-73.98181,178,ENGLEWOOD,11567,NS,S,235
-8235624.2259,4997051.4743,116,Bergen,LAFAYETTE AVE AT HARING PL,Ou,40.89619,-73.98181,780,ENGLEWOOD,11567,NS,S,235
-8236528.5688,4996160.162,117,Bergen,LAFAYETTE PL AT FOREST AVE,In,40.89022,-73.99003,178,ENGLEWOOD,11568,FS,N,32
-8236528.5688,4996160.162,118,Bergen,LAFAYETTE PL AT FOREST AVE,In,40.89022,-73.99003,780,ENGLEWOOD,11568,FS,N,32
-8236437.8001,4996315.5212,119,Bergen,LAFAYETTE PL AT FIRST ST,In,40.89129,-73.98925,178,ENGLEWOOD,11569,NS,N,30
-8236437.8001,4996315.5212,120,Bergen,LAFAYETTE PL AT FIRST ST,In,40.89129,-73.98925,780,ENGLEWOOD,11569,NS,N,30
-8236357.4608,4996468.8122,121,Bergen,LAFAYETTE PL AT SECOND ST,In,40.89232,-73.98852,178,ENGLEWOOD,11570,FS,N,23
-8236357.4608,4996468.8122,122,Bergen,LAFAYETTE PL AT SECOND ST,In,40.89232,-73.98852,780,ENGLEWOOD,11570,FS,N,23
-8236297.6647,4996618.8551,123,Bergen,LAFAYETTE PL 109'N OF THIRD ST. ,In,40.89333,-73.98796,178,ENGLEWOOD,11571,MB,N,21
-8236297.6647,4996618.8551,124,Bergen,LAFAYETTE PL 109'N OF THIRD ST. ,In,40.89333,-73.98796,780,ENGLEWOOD,11571,MB,N,21
-8236221.4915,4996802.0159,125,Bergen,LAFAYETTE PL AT HIRLIMAN RD,In,40.89458,-73.98728,178,ENGLEWOOD,11572,NS,N,28
-8236221.4915,4996802.0159,126,Bergen,LAFAYETTE PL AT HIRLIMAN RD,In,40.89458,-73.98728,780,ENGLEWOOD,11572,NS,N,28
-8236222.606,4996848.7617,127,Bergen,LAFAYETTE PL AT HIRLIMAN RD,Ou,40.89483,-73.98714,178,ENGLEWOOD,11573,NS,S,211
-8236222.606,4996848.7617,128,Bergen,LAFAYETTE PL AT HIRLIMAN RD,Ou,40.89483,-73.98714,780,ENGLEWOOD,11573,NS,S,211
-8236287.3408,4996711.252,129,Bergen,LAFAYETTE PL AT GARDEN ST,Ou,40.89391,-73.98771,178,ENGLEWOOD,11574,FS,S,201
-8236287.3408,4996711.252,130,Bergen,LAFAYETTE PL AT GARDEN ST,Ou,40.89391,-73.98771,780,ENGLEWOOD,11574,FS,S,201
-8236369.7015,4996503.0779,131,Bergen,LAFAYETTE PL AT GENESEE AVE,Ou,40.8925,-73.98846,178,ENGLEWOOD,11575,NS,S,201
-8236369.7015,4996503.0779,132,Bergen,LAFAYETTE PL AT GENESEE AVE,Ou,40.8925,-73.98846,780,ENGLEWOOD,11575,NS,S,201
-8236471.9763,4996305.1078,133,Bergen,LAFAYETTE PL AT FIRST ST,Ou,40.89114,-73.98938,178,ENGLEWOOD,11576,FS,S,210
-8236471.9763,4996305.1078,134,Bergen,LAFAYETTE PL AT FIRST ST,Ou,40.89114,-73.98938,780,ENGLEWOOD,11576,FS,S,210
-8236533.7355,4996199.2496,135,Bergen,LAFAYETTE PL AT ROSEMONT PL,Ou,40.89042,-73.98993,178,ENGLEWOOD,11577,NS,S,210
-8236533.7355,4996199.2496,136,Bergen,LAFAYETTE PL AT ROSEMONT PL,Ou,40.89042,-73.98993,780,ENGLEWOOD,11577,NS,S,210
-8236491.6561,4997935.2401,137,Bergen,PALISADE AVE AT BELMONT ST,In,40.9023,-73.98962,186,ENGLEWOOD,11578,NS,E,127
-8236491.6561,4997935.2401,138,Bergen,PALISADE AVE AT BELMONT ST,In,40.9023,-73.98962,756,ENGLEWOOD,11578,NS,E,127
-8236352.2749,4997832.2552,139,Bergen,PALISADE AVE AT OAKLAND ST,In,40.90159,-73.98838,186,ENGLEWOOD,11579,FS,E,126
-8236352.2749,4997832.2552,140,Bergen,PALISADE AVE AT OAKLAND ST,In,40.90159,-73.98838,756,ENGLEWOOD,11579,FS,E,126
-8236016.4571,4997581.4589,141,Bergen,PALISADE AVE AT PALISADE PL,In,40.8999,-73.98535,186,ENGLEWOOD,11580,FS,E,126
-8236016.4571,4997581.4589,142,Bergen,PALISADE AVE AT PALISADE PL,In,40.8999,-73.98535,756,ENGLEWOOD,11580,FS,E,126
-8235794.3159,4997414.4315,143,Bergen,PALISADE AVE AT BROOKWAY AVE,In,40.89875,-73.98337,186,ENGLEWOOD,11581,NS,E,127
-8235794.3159,4997414.4315,144,Bergen,PALISADE AVE AT BROOKWAY AVE,In,40.89875,-73.98337,756,ENGLEWOOD,11581,NS,E,127
-8235646.5778,4997304.9405,145,Bergen,PALISADE AVE AT COTTAGE PL,In,40.89801,-73.98204,186,ENGLEWOOD,11582,NS,E,126
-8235646.5778,4997304.9405,146,Bergen,PALISADE AVE AT COTTAGE PL,In,40.89801,-73.98204,756,ENGLEWOOD,11582,NS,E,126
-8235411.5847,4997128.2411,147,Bergen,PALISADE AVE AT LAFAYETTE AVE,In,40.89681,-73.97993,186,ENGLEWOOD,11583,NS,E,125
-8235411.5847,4997128.2411,148,Bergen,PALISADE AVE AT LAFAYETTE AVE,In,40.89681,-73.97993,756,ENGLEWOOD,11583,NS,E,125
-8234902.3837,4996738.9398,149,Bergen,PALISADE AVE AT RAILROAD CROSSING,In,40.89414,-73.97538,178,ENGLEWOOD,11584,FS,E,129
-8234902.3837,4996738.9398,150,Bergen,PALISADE AVE AT RAILROAD CROSSING,In,40.89414,-73.97538,186,ENGLEWOOD,11584,FS,E,129
-8234902.3837,4996738.9398,151,Bergen,PALISADE AVE AT RAILROAD CROSSING,In,40.89414,-73.97538,756,ENGLEWOOD,11584,FS,E,129
-8234902.3837,4996738.9398,152,Bergen,PALISADE AVE AT RAILROAD CROSSING,In,40.89414,-73.97538,780,ENGLEWOOD,11584,FS,E,129
-8234414.191,4996362.5397,153,Bergen,PALISADE AVE AT DWIGHT PL,In,40.89161,-73.97097,186,ENGLEWOOD,11585,NS,E,126
-8234017.0065,4996070.7861,154,Bergen,PALISADE AVE AT DANA PL,In,40.88962,-73.96741,186,ENGLEWOOD,11586,FS,E,127
-8233801.452,4995908.1932,155,Bergen,PALISADE AVE AT JONES RD,In,40.88853,-73.96546,186,ENGLEWOOD,11587,NS,E,126
-8232752.0575,4995124.4792,156,Bergen,PALISADE AVE AT SUMMIT ST,In,40.88319,-73.95605,186,ENGLEWOOD,11588,NS,E,127
-8233372.8445,4995622.663,157,Bergen,PALISADE AVE 100'W OF WOODLAND ST,Ou,40.88653,-73.96167,186,ENGLEWOOD,11589,MB,W,307
-8233811.0943,4995945.6253,158,Bergen,PALISADE AVE AT BRAYTON ST,Ou,40.88874,-73.96559,186,ENGLEWOOD,11590,FS,W,307
-8234179.7458,4996220.7721,159,Bergen,PALISADE AVE AT LYDECKER ST,Ou,40.89061,-73.9689,186,ENGLEWOOD,11591,FS,W,306
-8234334.4067,4996334.2525,160,Bergen,PALISADE AVE 125'E OF DWIGHT PL. ,Ou,40.89138,-73.97029,186,ENGLEWOOD,11592,MB,W,306
-8234493.6675,4996451.9185,161,Bergen,PALISADE AVE AT HILLSIDE AVE,Ou,40.89219,-73.97171,186,ENGLEWOOD,11593,NS,W,306
-8234946.1913,4996804.6493,162,Bergen,PALISADE AVE AT RAILROAD CROSSING,Ou,40.89459,-73.97577,178,ENGLEWOOD,11594,FS,W,307
-8234946.1913,4996804.6493,163,Bergen,PALISADE AVE AT RAILROAD CROSSING,Ou,40.89459,-73.97577,186,ENGLEWOOD,11594,FS,W,307
-8234946.1913,4996804.6493,164,Bergen,PALISADE AVE AT RAILROAD CROSSING,Ou,40.89459,-73.97577,756,ENGLEWOOD,11594,FS,W,307
-8234946.1913,4996804.6493,165,Bergen,PALISADE AVE AT RAILROAD CROSSING,Ou,40.89459,-73.97577,780,ENGLEWOOD,11594,FS,W,307
-8235352.6837,4997112.1646,166,Bergen,PALISADE AVE AT TENAFLY RD,Ou,40.89667,-73.97943,178,ENGLEWOOD,11595,NS,W,307
-8235352.6837,4997112.1646,167,Bergen,PALISADE AVE AT TENAFLY RD,Ou,40.89667,-73.97943,186,ENGLEWOOD,11595,NS,W,307
-8235352.6837,4997112.1646,168,Bergen,PALISADE AVE AT TENAFLY RD,Ou,40.89667,-73.97943,756,ENGLEWOOD,11595,NS,W,307
-8235352.6837,4997112.1646,169,Bergen,PALISADE AVE AT TENAFLY RD,Ou,40.89667,-73.97943,780,ENGLEWOOD,11595,NS,W,307
-8235618.5351,4997314.1409,170,Bergen,PALISADE AVE AT COTTAGE PLACE,Ou,40.89802,-73.98184,186,ENGLEWOOD,11596,NS,W,307
-8235618.5351,4997314.1409,171,Bergen,PALISADE AVE AT COTTAGE PLACE,Ou,40.89802,-73.98184,756,ENGLEWOOD,11596,NS,W,307
-8235760.5162,4997419.448,172,Bergen,PALISADE AVE AT KNICKERBOCKER RD,Ou,40.89875,-73.9831,186,ENGLEWOOD,11597,NS,W,306
-8235760.5162,4997419.448,173,Bergen,PALISADE AVE AT KNICKERBOCKER RD,Ou,40.89875,-73.9831,756,ENGLEWOOD,11597,NS,W,306
-8236087.3824,4997664.5854,174,Bergen,PALISADE AVE AT CROSS ST,Ou,40.90038,-73.98607,186,ENGLEWOOD,11598,NS,W,306
-8236087.3824,4997664.5854,175,Bergen,PALISADE AVE AT CROSS ST,Ou,40.90038,-73.98607,756,ENGLEWOOD,11598,NS,W,306
-8236327.826,4997844.2063,176,Bergen,PALISADE AVE AT OAKLAND ST,Ou,40.90161,-73.98822,186,ENGLEWOOD,11599,NS,W,306
-8236327.826,4997844.2063,177,Bergen,PALISADE AVE AT OAKLAND ST,Ou,40.90161,-73.98822,756,ENGLEWOOD,11599,NS,W,306
